row,DOI,Abstract,label
13,10.1016/j.autcon.2024.105653,"Construction companies estimate project costs at the beginning of the project; however, many factors impact the final project cost. Estimate at Completion (EAC) is a critical approach for estimating the final cost based on actual project performance. This paper aims to improve EAC predictions by integrating Adaptive Neuro-Fuzzy Inference Systems (ANFIS) and Artificial Neural Network (ANN) with Archimedes Optimization Algorithm (AOA). The integration of the input optimization algorithm aims to optimize the input features and explore the factors that significantly affect EAC. Using 306 data points from 13 construction projects in Taiwan between 2000 and 2007, this paper developed hybrid models and found a significant improvement in EAC estimation compared to ANN and ANFIS. © 2024",AI Development and Methods
14,10.1177/1351010X241254956,"The research investigates the sound absorption properties of potassium polyacrylate (PPA) composites, particularly those augmented with clay and porous hollow glass beads within a hydrogel template. This unique material combination shows promise for efficient sound absorption, relevant in industries requiring effective noise control like acoustic engineering and construction. Experimental assessment focused on measuring the sound absorption coefficient, crucial for quantifying a material’s ability to absorb sound energy across various frequencies. Incorporating clay and porous hollow glass beads introduces complexities, emphasizing the need for precise acoustic performance prediction. Collected data from sound absorption coefficient measurements formed the basis for training an Artificial Neural Network (ANN) model. Leveraging the ANN’s pattern recognition capabilities, the model learned from diverse composite compositions, enabling accurate prediction of sound absorption coefficients for varying material compositions. This predictive model streamlines material design, offering a systematic approach to tailor composite acoustic characteristics. Integration of machine learning, particularly ANNs, enhances accuracy and expedites material design and optimization, contributing to innovative and customizable sound-absorbing materials for diverse industrial applications. © The Author(s) 2024.",AI Development and Methods
16,10.1007/978-3-031-72509-8_54,"With the rapid development of technology and the increasing complexity of engineering projects, the need for effective methods to monitor and assess the structural health of buildings has become more critical than ever. This has led to the emergence of structural health monitoring (SHM) as a vital field of study within civil engineering. Structural health monitoring is a symbol of the development of engineering theory, which has increasingly become an important guarantee for the design verification, construction control, safe operation, and maintenance management of major engineering structures. Based on the basic theory of machine learning, this paper takes the high-rise building as the test carrier to design and deploy the health monitoring system. Through real-time monitoring, data acquisition and processing, the stability and reliability of the high-rise building in normal use and service conditions are verified. In this paper, the damage theory of the high-rise building is analyzed based on the modal parameter identification principle of the wavelet method, which provides a reference for the stress analysis and deformation analysis of the high-rise building under strong wind and earthquake. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",AI Development and Methods
17,10.3390/a17110525,"The speedy progress of computer vision and machine learning engineering has inaugurated novel means for improving the purchasing experiment in brick-and-mortar stores. This paper examines the utilization of YOLOv (You Only Look Once) and DeepSORT (Deep Simple Online and Real-Time Tracking) algorithms for the real-time detection and analysis of the purchasing penchant in brick-and-mortar market surroundings. By leveraging these algorithms, stores can track customer behavior, identify popular products, and monitor high-traffic areas, enabling businesses to adapt quickly to customer preferences and optimize store layout and inventory management. The methodology involves the integration of YOLOv5 for accurate and rapid object detection combined with DeepSORT for the effective tracking of customer movements and interactions with products. Information collected in in-store cameras and sensors is handled to detect tendencies in customer behavior, like repeatedly inspected products, periods expended in specific intervals, and product handling. The results indicate a modest improvement in customer engagement, with conversion rates increasing by approximately 3 percentage points, and a decline in inventory waste levels, from 88% to 75%, after system implementation. This study provides essential insights into the further integration of algorithm technology in physical retail locations and demonstrates the revolutionary potential of real-time behavior tracking in the retail industry. This research determines the foundation for future developments in functional strategies and customer experience optimization by offering a solid framework for creating intelligent retail systems. © 2024 by the authors.",Not Related
19,10.1007/s12145-024-01520-2,"Soilcrete is an innovative construction material made by combining naturally occurring earth materials with cement. It can be effectively used in areas where other construction materials are not readily available due to financial or environmental reasons since soilcrete is made from readily available natural clay. It can also help to cut down the greenhouse gas emissions from the construction industry by encouraging the use of resources that are locally available. Thus, it is imperative to reliably predict different properties of soilcrete since the accurate determination of these properties is crucial for the widespread use of soilcrete materials. However, the laboratory determination of these properties is subjected to significant time and resource constraints. As a result, this research was undertaken to provide empirical prediction models for the density, shrinkage, and strain of soilcrete mixes using two machine learning algorithms: Gene Expression Programming (GEP) and Extreme Gradient Boosting (XGB). The analysis revealed that XGB-based predictions correlated more with real-life values than GEP having training R2=0.999 for both density and shrinkage prediction and R2=0.944 for strain prediction. Moreover, several explanatory analyses including individual conditional expectation (ICE) analysis and shapely analysis were done on the XGB model which showed that water-to-binder ratio, metakaolin content, and modulus of elasticity are some of the most important variables for forecasting soilcrete materials properties. Furthermore, an interactive graphical user interface (GUI) has been developed for effective utilization in civil engineering industry to forecast these properties of soilcrete materials. © The Author(s) 2025.",AI Development and Methods
20,10.3390/en17184680,"The pursuit of climate neutrality requires global systemic actions involving the use of solutions aimed at reducing emissions. Changes must be introduced in all sectors affecting climate change, namely power engineering and district heating, construction, transport, and industry, as well as agriculture and forestry. Analyzing the structure of final energy consumption in the EU by sector, it can be stated that households account for 27% of the total energy consumption. Comprehensive actions are needed to increase the energy efficiency of buildings. The aim of this paper was to indicate aspects of improving energy efficiency in buildings and their equipment, taking into account the striving for climate neutrality. Analyzed possibilities and conditions of using various solutions of energy-efficient systems aimed at increasing energy resilience and security and preventing environmental degradation. Particular attention was paid to construction and material solutions, as well as installation solutions, which increased the accumulation and energy efficiency of the building. These activities are closely related to the conditions and dynamics of the heat exchange process in the applied solutions and are also related to the factors influencing thermal comfort and energy consumption in buildings. Due to the growing popularity of modern information technologies and artificial intelligence in energy management in recent years, this article reviews the latest research in this area. One of the directions of future research indicated by scientists is autonomous building control in real time, adapting to the momentary needs of users. The analysis of the possibilities of using modern energy efficiency solutions in buildings conducted in this work may be useful for optimizing heat and energy management models and models of society’s consumption as an element of energy transformation towards climate neutrality and counteracting the deepening of energy poverty. © 2024 by the authors.",Uncertain
22,10.1016/j.tust.2024.105978,"In the context of rapid urbanization, ensuring the safety of subway station construction is vital for the stability of urban infrastructure. Conventional intelligent construction risk prediction methods typically utilize large volumes of monitoring data for training to enhance model accuracy, often neglecting the relationship between the time-series width of the data and the prediction results. To address this issue, and to better serve the construction of shallow-buried subway stations at an earlier stage, this study proposed a bagging algorithm with an improved base learner combination strategy. This algorithm forms the basis for the Bayesian optimization-based random forest model (BA-RF) and the marine predators’ algorithm-optimized random forest model (MPA-RF). By examining trends in real-time data, such as surface and building settlements above the main structure, displacement at key points of the vertical shafts, and crown settlement, the short-term maximum values of key displacements were predicted. This study emphasized the impact of the time width of the input data on the accuracy of the predictive models. Through empirical analysis, the optimal time-series width was determined, allowing for effective short-term structural risk prediction and early warning using a smaller time series. The findings indicate that the BA-RF model, utilizing an improved base learner strategy, achieves higher prediction accuracy than the more complex MPA-RF model, effectively mitigating overfitting. Specifically, when the preceding measured data time widths were 5, 15, and 25 d, the BA-RF model's mean absolute error was 0.168, 0.160, and 0.349, respectively, whereas the root mean square error was 0.853, 0.463, and 0.509, respectively. Combined with short-term future prediction applications at construction sites, it was demonstrated that appropriately selecting the time-series width can significantly enhance prediction accuracy even with relatively small data volumes. This study provides a method for selecting training data for intelligent risk management during subway station construction and offers practical data selection strategies for risk assessment in other large-scale construction projects. Thus, this method has significant scientific and practical applications. © 2024 Elsevier Ltd",AI Development and Methods
23,10.1016/j.tws.2024.112795,"Composite eccentric annular sector plates are frequently utilized in engineering. This structure is crucial in the manufacturing, aircraft, nuclear, and construction industries due to its asymmetrical geometry. So, in this work for the first time, thermal-post buckling analysis of the composite eccentric annular sector plate made of graphene origami enriched auxetic metamaterial (GOEAM) is presented. To improve the stability of this kind of structure, the GOEAM composite eccentric annular sector plate is surrounded by an auxetic concrete foundation. To estimate the nonlinear thermal buckling information of the presented structure using a hybrid machine learning algorithm, a dataset is needed. Due to the lack of thermal post-buckling datasets for the presented composite eccentric annular sector plate, a mathematical simulation is presented. In the mathematical simulation (MS) section, quasi-3D refined theory (Q3D-RT), Von-Karman nonlinearity, minimum total potential energy principle, and Haber-Schaim formulations are used to generate the governing and boundary equations of the GOEAM annular sector plates surrounded by auxetic concrete foundation. After extracting the governing equations, they are solved via the transformed differential quadrature method (TDQM) with the aid of differential quadrature (DQ) weighting coefficients. After obtaining the datasets using MS, in the artificial intelligence domain, the results for future research of thermal post-buckling of the GOEAM composite eccentric annular sector plate surrounded by the auxetic concrete foundation are tested, trained, and validated. So, with the presented datasets of thermal post-buckling of the GOEAM composite eccentric annular sector plate surrounded by auxetic concrete foundation, this kind of structure using a machine learning algorithm can be simulated in other complex situations. © 2024",AI Development and Methods
24,10.1016/j.heliyon.2024.e41472,"Accurate and efficient traffic prediction directly determines the construction scale and investment budget of communication networks, which is crucial for network planning. Despite the rise of popular machine learning models, traditional statistical models maintain significant advantages in interpretability, controllability and simplicity, retaining an essential role in contemporary communication network traffic prediction. This paper analyzes and predicts the inter-provincial egress traffic of 31 provinces in a large-scale operational IP backbone network using traditional regression analysis, the time series Prophet model, and a novel combination of these two prediction models. We explore the applicability of these prediction methods for inter-provincial egress traffic. Additionally, we systematically study the interactions between eight types of macroeconomic factors and the inter-provincial egress traffic of the IP backbone network. Our statistical results indicate varying degrees of correlation between inter-provincial egress traffic and five types of social macroeconomic indices, as well as three types of communication industry indices. Notably, four indices—Gross Domestic Product (GDP), per capita disposable income, per capita consumption expenditure, and the number of Internet broadband users—exhibit high correlation. Among the four forecasting models constructed, the overall forecasting effectiveness is ranked from best to worst: time series Prophet combined with variance reduction model, time series Prophet model, correlation regression analysis model, and stepwise regression model. Our innovative combined model improves the average prediction accuracy of the Prophet model by 2.6 %, achieving 100 % effective prediction of traffic in all 31 provinces with an overall excellence ratio of 94 %. This approach is highly applicable and effective, gaining popularity in engineering practice and large-scale application. © 2024 The Author",Not Related
25,10.3390/buildings15030380,"The fourth industrial revolution has introduced a range of digital technologies (DTs) that possess the potential to significantly enhance the operations and competitiveness of heavy-construction firms. Grounded in the Technology–Organization–Environment (TOE) Framework, the Resource-Based View (RBV) and the Diffusion of Innovation Theory (DOI), this study investigates the relationship between the adoption of digital technologies and the competitive edge (CE) of heavy-engineering firms. Specifically, this research seeks to assess how the adoption of DTs impacts four critical competitive-edge metrics: efficient resource management (CE1), real-time monitoring and control (CE2), data-driven decision-making (CE3) and improved collaboration and communication (CE4). A quantitative research approach was employed, using a structured questionnaire distributed to construction professionals in Lagos State, Nigeria. The principal results of the study revealed that firms adopting artificial intelligence (AI), cloud-based technology and the Internet of Things (IoT) exhibited significantly higher competitive-edge metrics compared to their counterparts. Notably, AI and cloud-based technology were found to have a particularly strong association with improved resource management, real-time monitoring, and decision-making processes. A major contribution of this research is the development of a DT-adoption model which can serve as a benchmarking tool for firms to assess their current adoption levels and identify areas for improvement. This model can also guide policymakers and regulators in developing strategies to encourage the integration of digital technologies within the heavy-construction industry. The originality of this study lies in its holistic approach, examining a broad spectrum of digital technologies and their collective impact on enhancing the competitive edge of construction firms. © 2025 by the authors.",AI Economic and Business Impacts
27,10.11933/j.issn.1007-9289.20240111001,"Corrosion monitoring is a crucial technology that ensures the safety and longevity of infrastructure by providing real-time tracking of the corrosion conditions of materials, helping prevent structural failures and major accidents. This technology has been extensively applied in various industries, including oil and gas, chemical engineering, shipping, and bridge construction, with the primary aims of ensuring operational safety and prolongating the service life of the equipment. This study focuses on the application of an advanced online corrosion-monitoring technology based on the principle of galvanic-type corrosion sensors, known as Advanced Corrosion Monitoring (ACM), specifically in the context of cross-sea bridges, which are subject to harsh environmental conditions such as saltwater, high humidity, and fluctuating temperatures, making them particularly susceptible to corrosion. The ACM system was designed to continuously monitor the corrosion processes of the various materials and coatings used in these structures, thereby enabling timely interventions and maintenance. The current landscape of material corrosion monitoring and detection technologies is diverse and rapidly evolving, complementing traditional methods such as visual inspection and periodic sampling and, in some cases, replacing more advanced and continuous monitoring systems that leverage a range of sensors and data collection techniques to provide real-time, accurate, and comprehensive information about the corrosion status of materials. Ultrasonic testing, eddy current testing, and electrochemical impedance spectroscopy are typically used to detect and quantify corrosion. To better understand the relationship between material corrosion and environmental factors, an analysis system was developed, integrating multiple environmental parameters and collected data on temperature, humidity, salinity, pH, and other relevant environmental variables. By correlating these environmental parameters with the observed corrosion rates, the system identifies key factors influencing the corrosion process and predicts future corrosion trends. For instance, high humidity and salt content in air are known to accelerate the corrosion of steel, whereas low temperatures can slow the corrosion rate. Machine learning methods, including random forests, decision trees, and linear regression, have been incorporated to enhance the predictive capabilities of corrosion-monitoring systems. These algorithms were trained on historical data to uncover close relationships between environmental data and material corrosion using random forests, which showed the best performance in the study, achieving a determination coefficient R2 of 0.83 and demonstrating a high level of accuracy in predicting corrosion rates. While decision trees provide a clear and interpretable model, allowing us to understand the decision-making process behind the predictions, they may not achieve the same level of accuracy as random forests. However, they offer valuable insights into the key factors influencing corrosion. Linear regression, although simpler, provides a useful baseline for comparison, elucidating the linear relationships between the environmental parameters and corrosion rates. The ACM-based system adopts a wireless data transmission mode and uploads real-time data to the cloud, which allows for centralized data storage, processing, and analysis. It is equipped with client software that provides a user-friendly interface for data visualization and analysis. Key features include real-time monitoring of corrosion conditions at critical points in the infrastructure, enabling immediate detection of anomalies; advanced data processing and analysis tools to extract meaningful insights from the collected data; predictive models that estimate the remaining service life of materials and coatings, helping in planning maintenance activities; automated alerts and notifications to inform stakeholders of potential issues and recommended actions; and customizable reports that can be generated to provide detailed insights into the corrosion status and trends over time. Case studies on cross-sea bridges in various regions illustrated the effectiveness of ACM systems. For example, a bridge in a coastal area with high salinity and humidity levels was monitored using the ACM system, and the data collected over a period of two years showed a significant correlation between the environmental parameters and corrosion rates of the bridge’s steel components. By implementing the recommendations provided by the system, bridge maintenance teams can reduce the corrosion rate and extend the service life of the structure. Another case study involving a bridge in a region with varying climatic conditions detected an unexpected increase in corrosion rates during a specific season; further analysis revealed that this was due to a combination of high humidity and increased pollution levels. The maintenance team took immediate action, applied protective coatings, and implemented additional measures to mitigate the corrosion. The ACM system provides several benefits. It not only enhances the safety and reliability of infrastructure but also reduces maintenance costs by enabling proactive and targeted interventions. The ability of the system to predict the remaining service life of the materials and coatings enables better planning and resource allocation. In the future, ACM systems can be further enhanced by integrating more advanced sensors, such as fiber-optic sensors, and by incorporating more sophisticated machine learning algorithms. In addition, the system can be extended to other types of infrastructure, such as pipelines, offshore platforms, and industrial facilities, to provide a comprehensive solution for corrosion management. In conclusion, the application of advanced corrosion-monitoring technologies, such as the ACM system, is essential for ensuring the safety and longevity of infrastructure, particularly in challenging environments such as those encountered in cross-sea bridges. By integrating machine learning methods and real-time data analysis, these systems provide valuable insights and predictive capabilities, enabling proactive maintenance and preventing major accidents. As technology evolves, it promises to further enhance the reliability and efficiency of infrastructure management. © 2024 Chinese Mechanical Engineering Society. All rights reserved.",AI Development and Methods
29,10.1080/23311916.2025.2449764,"The use of locally available and abundant building materials facilitates the availability and affordability of housing. One of the important locally available building materials in Ghana is burnt clay bricks. The purpose of this study is to assess the application of burnt clay bricks (BCBs) as a building material for housing projects in Ghana. The study adopted a descriptive survey research design which collected data from 90 architects and occupants of burnt clay brick buildings. It was found that BCBs can be applied for pavements, walls of any size, arches and cornices, partition walls, exterior and interior walls, and applied in the construction of brick retaining walls. It was further revealed that perceived financial cost, risks of BCBs, low demand for BCBs, inadequate BCBs on the market, and low interest in the use of BCBs affect the application of BCBs as a building material. It was also found that lack of commitment to the use of BCBs, lack of awareness by developers, inadequate knowledge of developers, and the inability of BCBs to satisfy the needs of modern building forms and functions affect the application of BCBs as a building material. The study recommends that building clients and professionals consider the application of BCBs as a building material for construction projects. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Not Related
30,10.1007/s43452-024-01083-5,"Calcium aluminate cement (CAC) is an important hydraulic cementitious material. It is widely used in construction, metallurgy, chemical industry and other fields due to its high early strength. The factors affecting its strength are also very complex. The research focus of this paper is to establish a prediction model for the compressive strength of CAC paste, so as to assist scientific research and practical engineering to quickly predict the strength of CAC paste at different ages under different mix ratios and curing conditions. In this paper, 273 sets of data are trained and tested based on support vector regression (SVR), random forest regression (RFR), gradient boosting (GB) and extreme gradient boosting (XGB) algorithms. It is found that the prediction accuracy of GB model can reach 89%. Meanwhile, based on the GB model, the feature importance analysis, global interpretation and dependence analysis are carried out. It is found that the main factors affecting the strength of CAC are relative humidity, silica fume content and curing temperature. To obtain high-strength CAC paste, the recommended mix ratio and curing conditions are as follows: Al2O3 content is 67%, CaO content is 32%, silica fume replacement rate is 10%, water–cement ratio is 0.1, relative humidity is 90%, curing temperature is 5 °C and low-temperature treatment time is greater than 60 days. Finally, a graphical user interface is established to facilitate direct prediction of CAC paste under new mix ratio and curing conditions. © Wroclaw University of Science and Technology 2024.",AI Development and Methods
