row,DOI,H_S,H_R,H_M,AI_GPT-5 Full,CONF_GPT-5 Full,REASON_GPT-5 Full,AI_GPT-5 mini,CONF_GPT-5 mini,REASON_GPT-5 mini,AI_Gemini Pro,CONF_Gemini Pro,REASON_Gemini Pro,AI_Gemini 2.5 Flash,CONF_Gemini 2.5 Flash,REASON_Gemini 2.5 Flash,reason_excl_R,benchmark,tier,n_labels,top_n
10,10.1007/978-3-031-72509-8_74,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Performance Evaluation,0.69,"The abstract discusses testing the performance of an intelligent safety supervision system in construction, comparing response time before and after optimization by an ""intelligent algorithm,"" and analyzing alarm frequency data. Phrases like ""tests the performance of the safety supervision system,"" ""optimized by intelligent algorithm,"" and observed improvements in response time indicate a performance evaluation of an AI-based system rather than focusing on adoption factors or algorithm design details.",AI Performance Evaluation,0.85,"Abstract describes applying an ""intelligent algorithm"" to optimize a construction safety supervision system and reports empirical performance metrics (alarm frequency data, response time before and after optimization). It states ""this paper tests the performance of the safety supervision system"" and compares response times pre- and post-optimization, indicating a performance evaluation of an AI-based system in construction.",AI Performance Evaluation,5.0,"The abstract focuses on testing the effectiveness of an AI-enhanced system. It explicitly states, 'this paper tests the performance of the safety supervision system,' and presents results comparing the system's 'response time' before and after being 'optimized by intelligent algorithm,' concluding that the 'response time of the security alert system has been significantly improved.'",AI Performance Evaluation,0.9,"The abstract explicitly states 'this paper tests the performance of the safety supervision system' and compares its 'response time' before and 'after it is optimized by intelligent algorithm', indicating a focus on evaluating the performance improvements of an AI-enhanced system.",,AI Development and Methods,Majority 3-0,3,3
11,10.3390/app142210517,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.88,"The abstract presents a novel deep learning framework (Earthwork Network Architecture) tailored to a construction task (earthwork quantity estimation from unstructured CAD data), integrating LLMs, MLP, LSTM, and Transformers. It emphasizes method design and adaptation of AI models for AEC datasets, with reported performance (97.17% accuracy) as validation of the proposed method.",AI Development and Methods,0.94,"Abstract presents a novel deep learning framework (Earthwork Network Architecture) that integrates LLMs, MLP, LSTM, and Transformers to automate earthwork quantity estimation from unstructured CAD datasets. It focuses on designing/adapting AI architectures for a construction-specific task and reports model performance (97.17% Quantity Takeoff Classification accuracy) and computational trade-offs, indicating method development rather than solely adoption, benchmarking, or economic analysis.",AI Development and Methods,5.0,"The abstract focuses on the design and creation of a ""novel deep learning framework"" named the ""Earthwork Network Architecture (ENA)"". It explicitly details the AI components used, such as ""Large Language Models (LLMs), Multi-Layer Perceptron (MLP), Long Short-Term Memory (LSTM) networks, and Transformers,"" and describes adapting them for a specific construction problem: automating earthwork quantity estimation from unstructured CAD data. This aligns perfectly with the definition of 'AI Development and Methods', which involves designing and adapting AI algorithms for construction tasks.",AI Development and Methods,0.95,"The abstract introduces 'the Earthwork Network Architecture (ENA), a novel deep learning framework that incorporates Large Language Models (LLMs), Multi-Layer Perceptron (MLP), Long Short-Term Memory (LSTM) networks, and Transformers to automate and enhance the accuracy of earthwork quantity estimation.' This directly aligns with 'designing, adapting, or advancing AI/ML algorithms or computational approaches tailored to construction-related problems'.",,AI Development and Methods,Majority 3-0,3,3
12,10.1038/s41467-024-52501-4,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.86,"The paper proposes a new mechanics-informed autoencoder within a “deploy-and-forget” SHM framework using passive sensors and data compression, tailored to detect/localize damage in civil structures. It emphasizes algorithmic/methodological innovation (learning bespoke baselines, mechanics-informed architecture) for construction assets (buildings/bridges), with some comparative results (35% over standard autoencoder), but the core contribution is developing the method.",AI Development and Methods,0.93,"The abstract presents a novel mechanics-informed autoencoder and a 'deploy-and-forget' ML pipeline for structural health monitoring, i.e., development/adaptation of an AI model tailored to civil-structure problems. It focuses on algorithmic design (passive sensor data compression, continuous learning of bespoke baselines) and reports performance gains over a standard autoencoder (35% improvement), indicating method development rather than solely adoption, evaluation, or economic analysis.",AI Development and Methods,5.0,"The abstract describes the development of a 'novel “deploy-and-forget” approach' for structural health monitoring. The core of this approach is a 'mechanics-informed autoencoder,' which represents a specific adaptation and advancement of an AI/ML algorithm tailored to a construction-related problem (damage detection in structures). The focus is on the design and function of this new method, which is a hallmark of the AI Development and Methods category.",AI Development and Methods,0.95,"The abstract describes a ""novel 'deploy-and-forget' approach"" involving a ""mechanics-informed autoencoder"" for automated damage detection and localization in structural health monitoring. It details how the model ""continuously learns and adapts"" and highlights that ""incorporating the mechanical characteristics into the autoencoder allows for up to a 35% improvement"" over a standard autoencoder, indicating a focus on advancing AI/ML algorithms tailored for construction problems.",,AI Development and Methods,Majority 3-0,3,3
13,10.1016/j.autcon.2024.105653,AI Economic and Business Impacts,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.77,"The study designs hybrid AI models by integrating ANFIS and ANN with the Archimedes Optimization Algorithm to optimize input features for EAC prediction in construction. It develops tailored computational approaches for a construction cost estimation problem and reports improved performance over baseline ANN/ANFIS, indicating method development with evaluation.",AI Development and Methods,0.92,"The abstract focuses on developing hybrid AI/ML models (integrating ANFIS and ANN with the Archimedes Optimization Algorithm) to improve Estimate at Completion (EAC) predictions, including input-feature optimization and model development using a 306-point construction dataset. These cues (ANFIS, ANN, AOA, feature optimization, hybrid models) indicate algorithm/method advancement tailored to a construction estimation problem.",AI Development and Methods,5.0,"The abstract describes the development of new hybrid models by ""integrating Adaptive Neuro-Fuzzy Inference Systems (ANFIS) and Artificial Neural Network (ANN) with Archimedes Optimization Algorithm (AOA)"" to improve the prediction of Estimate at Completion (EAC). This focus on creating and combining AI algorithms for a specific construction task falls squarely under AI Development and Methods.",AI Development and Methods,0.95,The abstract describes improving 'EAC predictions by integrating Adaptive Neuro-Fuzzy Inference Systems (ANFIS) and Artificial Neural Network (ANN) with Archimedes Optimization Algorithm (AOA)' and developing 'hybrid models'. This demonstrates a focus on designing and advancing AI/ML algorithms tailored for construction-related problems.,,AI Development and Methods,Majority 2-1,3,2
14,10.1177/1351010X241254956,,AI Development and Methods,AI Development and Methods,Not Related,0.86,"The study develops an ANN to predict sound absorption coefficients of potassium polyacrylate composite materials (with clay and porous hollow glass beads) based on experimental acoustic data. Construction is only mentioned as a possible application area for noise control; there is no construction-specific problem, dataset, workflow, or implementation discussed.",AI Development and Methods,0.88,"The abstract describes collecting experimental sound absorption data and training an Artificial Neural Network (ANN) to predict sound absorption coefficients for composite materials. It focuses on developing and applying an ANN-based predictive model to streamline material design for acoustic applications (mentions construction), which is the development/adaptation of an AI/ML method for a construction-related problem.",AI Development and Methods,5.0,The abstract focuses on the development and application of an Artificial Neural Network (ANN) model to solve a specific engineering problem relevant to construction. It states that data was used for 'training an Artificial Neural Network (ANN) model' to enable 'accurate prediction of sound absorption coefficients.' This development of a predictive AI model to 'streamline material design' and 'expedite material design and optimization' is a clear example of AI method development for a construction-related application.,AI Development and Methods,0.9,"The abstract describes the application of an Artificial Neural Network (ANN) model to predict and optimize the sound absorption properties of composite materials. This use of AI to 'streamline material design' and 'tailor composite acoustic characteristics' for materials relevant to the construction industry (e.g., noise control) aligns with the 'design optimization' aspect within AI Development and Methods.",,AI Development and Methods,Majority 2-0,2,2
15,10.47857/irjms.2024.05i04.01718,,,,Not Related,0.93,"The abstract centers on Building Information Modeling (BIM) as a learning tool in AEC education, discussing course/curriculum development, implementation processes and barriers, industry–academia partnerships, and student/instructor factors. It does not mention AI or machine learning methods, algorithms, performance benchmarking, or AI adoption/economic impacts in construction.",Not Related,0.93,"The abstract is a systematic literature review focused on Building Information Modeling (BIM) as a learning tool in AEC education (course/curriculum development, learning methods, industry–academia partnerships, student motivation, instructor guidance). It discusses pedagogical implementation and barriers from 27 articles and does not mention AI/ML methods, models, adoption of AI, performance benchmarking, or economic impacts of AI in construction.",Not Related,5.0,"The abstract's central topic is 'building information modeling' (BIM) as a 'learning tool in architecture, engineering, and construction education.' It conducts a systematic literature review on BIM implementation and barriers in educational settings. The text does not mention artificial intelligence, machine learning, or any related computational methods, focusing solely on BIM technology in an academic context.",Not Related,1.0,"The abstract focuses exclusively on Building Information Modeling (BIM) as a learning tool in construction education, investigating its current status, implementation barriers, and integration into curricula. There is no mention of Artificial Intelligence (AI) or Machine Learning (ML) in the abstract.",,,No label,0,0
16,10.1007/978-3-031-72509-8_54,AI Performance Evaluation,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.63,"The abstract explicitly states the SHM system is “based on the basic theory of machine learning” and describes designing and deploying a monitoring system for a high‑rise building, along with analysis using “modal parameter identification principle of the wavelet method.” These cues indicate development and application of computational/ML methods tailored to structural health monitoring in construction rather than discussing adoption factors, performance benchmarking, or economics.",AI Development and Methods,0.9,"Abstract describes designing and deploying a structural health monitoring system for high-rise buildings based on the basic theory of machine learning, real-time data acquisition/processing, and modal parameter identification using the wavelet method — all indicating development and application of AI/ML methods tailored to a construction engineering problem.",AI Development and Methods,5.0,"The abstract describes the development of a specific application for structural health monitoring, stating it is 'Based on the basic theory of machine learning' and its purpose is to 'design and deploy the health monitoring system' for a high-rise building. This focus on creating and applying a machine learning-based system for a specific construction-related task falls under AI Development and Methods.",AI Development and Methods,0.9,"The abstract explicitly states 'Based on the basic theory of machine learning, this paper takes the high-rise building as the test carrier to design and deploy the health monitoring system', indicating the application and adaptation of ML methods to solve a specific construction problem (structural health monitoring).",,AI Development and Methods,Majority 2-1,3,2
17,10.3390/a17110525,,Not Related,Not Related,Not Related,0.95,"The abstract focuses on retail store applications—tracking customer behavior in brick-and-mortar markets using YOLOv5 and DeepSORT to optimize store layout and inventory. It discusses conversion rates and inventory waste in the retail industry, with no construction context or applications mentioned.",Not Related,0.9,"The abstract describes applying YOLOv5 and DeepSORT for real-time customer detection/tracking in brick-and-mortar retail stores (customer behavior, product interactions, store layout, inventory) and reports retail-specific metrics (conversion rates, inventory waste). It does not address construction contexts or construction-related AI/ML applications.",Not Related,5.0,The abstract focuses exclusively on the application of AI in the 'retail industry' for analyzing 'purchasing penchant in brick-and-mortar stores.' It does not mention or relate to the construction industry in any capacity.,Not Related,1.0,"The abstract explicitly states its focus is on 'brick-and-mortar stores' and the 'retail industry', using computer vision and machine learning (YOLOv5, DeepSORT) to analyze 'purchasing penchant' and 'customer behavior'. There is no mention of the construction industry or any related context.",,Not Related,Majority 2-0,2,2
18,10.1016/j.infsof.2024.107608,,Not Related,,Not Related,0.95,"The abstract discusses AutoML benefits and limitations in general software engineering and industry contexts, with no mention of construction-specific applications, domains (e.g., BIM, scheduling, site management), or construction industry stakeholders. It is a broad review not tied to construction.",AI Adoption Factors,0.92,"The abstract centers on adoption issues: organizational friction due to ML professional shortages and AutoML as a solution to ‘democratize ML adoption.’ It reports benefits and limitations affecting uptake (transparency, interoperability, flexibility, coverage) and concludes AutoML impacts adoption and requires skilled users—all focused on factors influencing AI/ML adoption in industry.",Not Related,5.0,"The abstract discusses Artificial Intelligence (AI) and Machine Learning (ML), specifically Automated Machine Learning (AutoML), within the broad context of 'software engineering in every application domain' and general 'industry' adoption. There is no mention of the construction industry or any related applications, making the content unrelated to the specified domain.",Not Related,0.95,"The abstract discusses the benefits and limitations of AutoML tools for AI/ML adoption in 'industry' and 'software engineering in every application domain' generally, but it does not mention or imply any specific connection to the construction industry. Therefore, it does not substantially address AI or ML applications in construction.",,Not Related,Single label,1,1
19,10.1007/s12145-024-01520-2,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.83,"The study develops empirical ML prediction models for soilcrete properties using Gene Expression Programming (GEP) and Extreme Gradient Boosting (XGB), performs model interpretation with ICE and SHAP, and reports performance metrics (R2). These cues indicate a focus on creating and tailoring AI/ML methods for a construction materials problem rather than discussing adoption factors, economics, or solely benchmarking against traditional methods.",AI Development and Methods,0.93,"Abstract describes development and application of ML models to predict soilcrete properties (Gene Expression Programming and Extreme Gradient Boosting), reports training R2 results (XGB R2=0.999 for density and shrinkage, R2=0.944 for strain), uses interpretability methods (ICE and SHAP), and provides a GUI for practical use—indicating methodological AI/ML development tailored to a construction-materials problem rather than solely adoption, economic impact, or ambiguous AI references.",AI Performance Evaluation,4.8,"The abstract directly compares the performance of two machine learning algorithms, Gene Expression Programming (GEP) and Extreme Gradient Boosting (XGB), for predicting soilcrete properties. It explicitly benchmarks the models, concluding that 'XGB-based predictions correlated more with real-life values than GEP' and provides specific performance metrics (e.g., 'training R2=0.999'). This act of benchmarking and comparing AI systems is the core focus of the AI Performance Evaluation category.",AI Performance Evaluation,0.95,"The abstract focuses on comparing the performance of two machine learning algorithms, Gene Expression Programming (GEP) and Extreme Gradient Boosting (XGB), for predicting soilcrete properties. It explicitly states that 'XGB-based predictions correlated more with real-life values than GEP having training R2=0.999' and discusses performance metrics (R2 values), which aligns directly with benchmarking and validating AI/ML systems.",,AI Development and Methods,Majority 3-0,3,3
20,10.3390/en17184680,,Uncertain,Uncertain,Uncertain,0.62,"The abstract primarily reviews energy efficiency measures in buildings and construction materials/installation solutions for climate neutrality. AI is only briefly mentioned as part of “modern information technologies” in energy management and as a future direction (autonomous real-time building control), without details on AI methods, adoption factors, or performance evaluation specific to construction. The relevance to AI/ML in construction is vague and lacks implementation specifics.",Uncertain,0.68,"The abstract primarily addresses energy-efficiency solutions and construction/material/installation measures for buildings, with only brief references to AI: it ‘reviews the latest research’ on artificial intelligence in energy management and notes autonomous real-time building control as a future direction. It does not present or evaluate specific AI/ML methods, adoption factors, performance benchmarking, or economic analysis—so relevance to AI/ML in construction is mentioned but not clearly developed.",Not Related,4.5,The abstract's primary focus is on improving energy efficiency in buildings through 'construction and material solutions' and 'installation solutions'. Artificial intelligence is mentioned only peripherally in one sentence as part of a broader review of 'modern information technologies and artificial intelligence in energy management'. The core topic of the paper is not AI.,AI Development and Methods,0.9,"The abstract explicitly states that the article 'reviews the latest research' on 'artificial intelligence in energy management' and discusses 'autonomous building control in real time' as a future research direction. These are specific applications of AI tailored to construction-related problems (energy efficiency in buildings), fitting the 'AI Development and Methods' category which includes specific applications like design optimization, scheduling, or BIM integration.",,Uncertain,Majority 2-0,2,2
